繁體中文,简体中文,英文,註解
cht,chs,enu,remark
兩頁,双页,2 pages,
異常執行,异常运行,abnormal execution,
異常終止,异常终止,abnormal termination,
中止函式,中止函数,abort function,
絕對座標,绝对座标,absolute coordinates,
絕對路徑,绝对路径,absolute path,
絕對位址,绝对地址,absolute position,
絕對位置,绝对位置,absolute positioning,
絕對值,绝对值,absolute value,
抽象基底類別,抽象基类,abstract base class,
抽象類別,抽象类,abstract class,
抽象資料類型,抽象数据类型,abstract data type,
抽象宣告子,抽象声明符,abstract declarator,
抽象性,抽象性,abstraction,
加速鍵編輯器,加速键编辑器,accelerator editor,
加速鍵,加速键,accelerator key,
加速鍵對映,加速键映射,accelerator mapping,
加速鍵資源,加速键资源,accelerator resource,
加速鍵對應表,加速键镜像表,accelerator table,
區分腔調字,区分口音,accent sensitive,
存取控制,访问控制,access control,
存取日期,访问日期,access date,
存取函式,访问函数,access function,
便捷鍵,快捷键,access key,
存取遮罩,访问掩码,access mask,
存取模式,访问模式,access mode,
存取許可,访问权限,access permission,
存取權限,访问权限,access privileges,
存取權限,访问权限,access right,
存取規範,访问规范,access specifier,
存取時間,访问时间,access time,
授與存取,授权访问,access will be granted,
存取,访问,access,
存取控制項 (ACE),访问控件 (ACE),access-control entry,
存取範圍定義域,访问范围定义域,accessiblity domain,
可存取性,可访问性,accessiblity,
存取子函式,访问子函数,accessor function,
存取子類別,访问子类别,accessor type,
附件,附件,accessories,一般用途
附屬應用程式,附件,accessories,只用於開始功能表
根據檔案,根据文件,according file,
帳號政策,帐号政策,account policy,
帳號類型,帐号类型,account type,
累加器,累加器,accumulator,
獲取印表機連接埠,捕获打印机端口,acquire printer ports,
動作提供者元件,动作供应商组件,action provider component,
動作型查詢,操作查询,action query,
動作表,操作表,action table,
活化物件,激活对象,activate object,
活化要求,激活要求,activate request,
活化工作清單,激活任务列表,activate task list,
活化這個視窗,激活这个窗口,activate this window,
活化金鑰,激活金钥,activation Key,
活化,激活,activation,
活化子,激活符,activator,
主動式文件,主动式文档,active Document,
主動式 HTML 文件,主动式 HTML 文档,active HTML Documents,
作用中視窗的標題列文字,活动窗口的标题列文本,active Title Bar Text,
作用中視窗的標題列,活动窗口的标题列,active Title Bar,
作用中斷點,作用断开点,active break point,
作用儲存格,作用单元格,active cell,
工作元件,活动组件,active components,
主動式內容,主动式内容,active content,
主動式內容句柄,主动式内容控制句柄,active context handle,
主動式文件應用程式,主动式文件应用程序,active document applications,
主動式文件伺服程式,主动式文件伺服程序,active document server,
主動式文件支援,主动式文件支持,active document support,
作用中文件,活动文档,active document,
作用中螢幕緩衝區,作用中屏幕缓冲区,active screen buffer,
作用狀態,活动状态,active state,
作用中視窗的標題色彩,活动窗口的标题颜色,active window caption color,
作用中視窗,活动窗口,active window,
作用中,活动,active,
